token_asli,frekuensi,kemungkinan_negasi,contoh_konteks,bentuk_baku,buang
bs,331,False,"sebenarnya pelayanan oke bgt,sy pengguna gojek uda lama.cuma agak kecewa sma pelayanan gofoodnya skrg ga kya d",,
laper,328,False,mesan makanan make reguler sm yg express sama sama lambat terus nge bug di 31 menit (udh 1 jam pesan tapi meni,,
ongkirnya,325,False,"rating saya begini karna sehabis update ongkirnya terlalu besar untuk gofood, dan saya langganan 3 bulan di go",,
org,322,False,"parah banget, pesen gofood sampe nunggu satu jam malah gagal alesannya karena driver sibuk! pdhl sebelumnya ud",,
download,302,False,kali ini aku benar - benar mendapatkan diskon lumayan banyak setelah aku instal kembali. dulu saya pernah down,,
lgi,301,False,sekarang kualitasnya jelek masa nyari driver lamanyaa 1 jam lebihh ntah gofood atau gocar lama bgtt nyari driv,,
ngambil,299,False,"dengan adanya apk gojeg ,gofood semua jdi mudah , tapi sekarang kebanyakan yg gofood pada ngambilnya orderanny",,
admin,297,False,nih gojek bbnr bnr kelewatan proses pngemblian dana smpe 1 bulan blm di proess juga dkarywan makan gaji buta k,,
car,297,False,klo lg hujan susah bgt dpt nya. suka pd cancel jg pdhl pesennya go car. bikin telat sampe 30 menitan ga ada yg,,
knp,296,False,tarif nya uda seminggu ini knp mahal trus. sy rutin bolak balik ktr kerumah biasa paling mahal 15 rb tapi ini ,,
sm,286,False,saya ngulang pesanan tapi ga lgsg kebatalin sm pihak gojeknya alhasil pesanan saya double,,
express,281,False,"rating saya begini karna sehabis update ongkirnya terlalu besar untuk gofood, dan saya langganan 3 bulan di go",,
baguss,277,False,baguss² sajaa,,
dg,274,False,welldone. harga ga masalah. yg penting sampai tujuan dg selamat. driver komunikatif. oke lah,,
so,270,False,"so far ngebantu gw bangett,, 8th pake gojek",,
notif,266,False,"setolol ini, ada riwayat pinjam dan chat dc yang sama sekali ga ada adab sesama manusia, telat 2 hari dan masu",,
dateng,262,False,lama banget dateng nya telat sampe 3 kali,,
bngt,257,False,sipp bngt,,
dri,257,False,"tolong dong kalo emg posisinya emg jauh atau dia lagi ada kendala dijalan apa ngomong jngn diem aj, perna aku ",,
gomart,256,False,masa gomart ga bisa dibatalin,,
dlm,255,False,"sangat mudah dan tepat klo sedang dlm ke adaan darurat, mempermudah perjalanan kemana pun tujuan kita...",,
nungguin,251,False,"awal² bagus sih, tapi lama² aneh. susah dapat driver, padahal kondisi lagi gak hujan dll, plis tolong perbaiki",,
jos,251,False,jos,,
meow,247,False,meow meow meow meow meow,,
make,246,False,"makin hari, tarif gojek makin mahal. malah jadi 2 x lipat. padahal udah make yang hemat",,
bug,245,False,full bug,,
uninstall,245,False,kali ini aku benar - benar mendapatkan diskon lumayan banyak setelah aku instal kembali. dulu saya pernah down,,
ujan,243,False,"memalukan, ujan sudah berenti dari jam 4 sore, jalan ga macet, masih jam 7 malem susahnya nyari driver dpt dri",,
dll,243,False,"awal² bagus sih, tapi lama² aneh. susah dapat driver, padahal kondisi lagi gak hujan dll, plis tolong perbaiki",,
jdi,240,False,"salah satu driver ada yg minta bayaran lebih,karna saya menmbawa penumpang lebih dari 4 minta tambah 20k,dari ",,
costumer,235,False,permainan ini sangat seru jika kita memiliki byk pelanggan tapi sering sepi dan costumer aneh' tolong kedepann,,
ride,229,False,"kenapa goride hematnya terbatas,padahal saya sudahs angat terbantu karena seminggu 2x rutin ke rumah sakit,tap",,
mantapp,228,False,makin mantapp,,
