bulan,kategori,jumlah,periode_parsial
2025-04-01,"GoPayLater, GoPinjam & Penagihan",281,False
2025-04-01,Performa & Gangguan Aplikasi,274,False
2025-04-01,Transaksi & Saldo GoPay,258,False
2025-04-01,Akurasi Lokasi & Rute,199,False
2025-04-01,"Akun, Login & Verifikasi",175,False
2025-05-01,Pesanan GoFood & Pembatalan,384,False
2025-05-01,Ketersediaan & Respons Mitra Driver,372,False
2025-05-01,Layanan Pelanggan & Penanganan Keluhan,318,False
2025-05-01,"Tarif, Ongkir & Promo",312,False
2025-05-01,Transaksi & Saldo GoPay,264,False
2025-05-01,Performa & Gangguan Aplikasi,229,False
2025-05-01,"GoPayLater, GoPinjam & Penagihan",209,False
2025-05-01,Akurasi Lokasi & Rute,157,False
2025-05-01,"Akun, Login & Verifikasi",154,False
2025-06-01,Pesanan GoFood & Pembatalan,367,False
2025-06-01,Ketersediaan & Respons Mitra Driver,340,False
2025-06-01,"Tarif, Ongkir & Promo",297,False
2025-06-01,Layanan Pelanggan & Penanganan Keluhan,262,False
2025-06-01,Transaksi & Saldo GoPay,218,False
2025-06-01,"GoPayLater, GoPinjam & Penagihan",209,False
2025-06-01,Performa & Gangguan Aplikasi,180,False
2025-06-01,Akurasi Lokasi & Rute,121,False
2025-06-01,"Akun, Login & Verifikasi",118,False
2025-07-01,Ketersediaan & Respons Mitra Driver,419,False
2025-07-01,Pesanan GoFood & Pembatalan,345,False
2025-07-01,"Tarif, Ongkir & Promo",330,False
2025-07-01,Layanan Pelanggan & Penanganan Keluhan,296,False
2025-07-01,Transaksi & Saldo GoPay,238,False
2025-07-01,Performa & Gangguan Aplikasi,227,False
2025-07-01,"GoPayLater, GoPinjam & Penagihan",224,False
2025-07-01,Akurasi Lokasi & Rute,143,False
2025-07-01,"Akun, Login & Verifikasi",139,False
2025-08-01,Ketersediaan & Respons Mitra Driver,353,False
2025-08-01,Pesanan GoFood & Pembatalan,314,False
2025-08-01,Transaksi & Saldo GoPay,278,False
2025-08-01,Layanan Pelanggan & Penanganan Keluhan,270,False
2025-08-01,"Tarif, Ongkir & Promo",266,False
2025-08-01,Performa & Gangguan Aplikasi,220,False
2025-08-01,"GoPayLater, GoPinjam & Penagihan",210,False
2025-08-01,Akurasi Lokasi & Rute,123,False
2025-08-01,"Akun, Login & Verifikasi",119,False
2025-09-01,Ketersediaan & Respons Mitra Driver,331,False
2025-09-01,Pesanan GoFood & Pembatalan,295,False
2025-09-01,"Tarif, Ongkir & Promo",247,False
2025-09-01,Layanan Pelanggan & Penanganan Keluhan,235,False
2025-09-01,"GoPayLater, GoPinjam & Penagihan",188,False
2025-09-01,Transaksi & Saldo GoPay,164,False
2025-09-01,Performa & Gangguan Aplikasi,145,False
2025-09-01,Akurasi Lokasi & Rute,111,False
2025-09-01,"Akun, Login & Verifikasi",106,False
2025-10-01,Ketersediaan & Respons Mitra Driver,431,False
2025-10-01,Pesanan GoFood & Pembatalan,431,False
2025-10-01,Layanan Pelanggan & Penanganan Keluhan,290,False
2025-10-01,"Tarif, Ongkir & Promo",283,False
2025-10-01,"GoPayLater, GoPinjam & Penagihan",184,False
2025-10-01,Performa & Gangguan Aplikasi,174,False
2025-10-01,Transaksi & Saldo GoPay,174,False
2025-10-01,Akurasi Lokasi & Rute,147,False
2025-10-01,"Akun, Login & Verifikasi",101,False
2025-11-01,Pesanan GoFood & Pembatalan,453,False
2025-11-01,Ketersediaan & Respons Mitra Driver,447,False
2025-11-01,Layanan Pelanggan & Penanganan Keluhan,341,False
2025-11-01,"Tarif, Ongkir & Promo",257,False
2025-11-01,"GoPayLater, GoPinjam & Penagihan",206,False
