token_asli,frekuensi,kemungkinan_negasi,contoh_konteks,bentuk_baku,buang
nolak,153,False,"kecewa pelayanan driver hari ini! bilang lokasi jemput jauh dan malah suruh liat maps, pdhl sya tau lokasi dri",menolak,
nomer,153,False,"payah, nomer hp kita dapatkan notip otpnya,whatsapp ada, lagi di kaitkan dan dipersulit ke gmail yang ntah dim",nomor,
to,150,False,"kenapa selalu ndd kembalian nya driver ta, nblg sede jamannya mi pake gopay, yang penting membayar org to na u",to,
gmn,149,False,"demi apapun, aplikasi nya kayaknya harus di perbaiki ke depan nya, langganan gojek karena murah buat anter rs ",bagaimana,
tu,149,False,minus nya kalo pesen gojek dalam keadaan hujan padahal saya mau berangkat kerja susah banget gaada yang mau am,itu,
nambah,147,False,berguna bngt tapi tolong yah menurut gua tambahin kurir cewek biar nambah joss heheheh,menambah,
cash,147,False,punya gopay 25rb..order 30..ga bisa nambah cash 5rb..harus tunai semua... males pake gojek lagi,tunai,
on,146,False,tks atas pelayanan drivernya yg on time 🙏👍,on,
otp,146,False,"ini gopay nya kenapa sih , setiap mau bayar kudu pake otp segala, mending kalau fast respon op nya ini mah ya ",otp,
maxim,145,False,"aplikasi tolol. dibandingkan dengan grab dan maxim gojek jauh di bawah. sudah mahal, susah bener dapat driver.",maxim,
uninstal,145,False,pesab gofood untuk makan anak saya 1 jam lebih tidak dapat driver dan tidak bisa di batalin kecewa banget ... ,uninstall,
benerin,142,False,gojek tolong map nya di benerin karna sering gosend salah titik kasian drivernya,perbaiki,
ttp,142,False,"ga jelas masyaallah biasanya ga gini dah, mau login aja di persulit apalagi lagi buru"" malah disruh nunggu trs",tetap,
very,139,False,very good,sangat,
lo,139,False,"gila gak ada penyelesaian kalo pas lgi kendalanya tidak menemukan driver, dari jam 11 siang sampe jam 2.30 lo ",kamu,
tambahin,136,False,berguna bngt tapi tolong yah menurut gua tambahin kurir cewek biar nambah joss heheheh,tambahkan,
google,135,False,"titik antar di aplikasi tidak sesuai sekali dengan titik di google maps, sehingga menimbulkan kesalahpahaman a",google,
malem,135,False,"memalukan, ujan sudah berenti dari jam 4 sore, jalan ga macet, masih jam 7 malem susahnya nyari driver dpt dri",malam,
adain,135,False,"tolong adain fitur chat dengan resro langsung, tanpa nunggu resto chat kita, ini udh 3x order gacoan yg berbed",adakan,
tips,131,False,"memalukan, ujan sudah berenti dari jam 4 sore, jalan ga macet, masih jam 7 malem susahnya nyari driver dpt dri",tip,
apl,131,False,gojek is the best cukup klik di apl ini lebih simpel dan semuanya bisa di klik aja deh gojek sllu di hati,aplikasi,
you,131,False,thank you,kamu,
bsa,130,False,apk ga jelas uda tau driver lama dpt nya disuruh nunggu spa setengah jam lebh. di cancel g bsa. memalukan seka,bisa,
cm,130,False,"go ojek gak jelas gw d blokir cm gara gara ngebeliin pulsa anak gw, suka tiba2 ngeblokir dgn alasan yg gak jel",cuma,
and,129,False,good servis and many discount,dan,
nge,128,False,"bagus sih bagus, tapi suka error kalo, lg pesen go transit.. kuota msh banyak, aplikasi yg lain msh jalan, tap",,1
bagusss,127,False,bagusss jangan lemott jaringan ajaa,bagus,
apps,126,False,baru kali ini mesen gojek sudah dapat driver tertulis 7menit tiba namun sampai sejam lebih saya menunggu tak k,aplikasi,
wa,126,False,"bagus sih bagus, tapi suka error kalo, lg pesen go transit.. kuota msh banyak, aplikasi yg lain msh jalan, tap",whatsapp,
pakek,125,False,"gw sukak pakek lu!! lu sangat bermanfaat tapi tolong!! di capcut, di manapun iklan selalu lu!! mana tanda x ny",pakai,
nyusahin,124,False,"nyusahin, mo log in pake harus vermuk segala, mana gagal terus ,",menyusahkan,
sma,123,False,"sebenarnya pelayanan oke bgt,sy pengguna gojek uda lama.cuma agak kecewa sma pelayanan gofoodnya skrg ga kya d",sama,
mntap,122,False,mntap,mantap,
ktp,122,False,"akun dengan nik driver jangan hanya untuk satu nomor hp, biar bisa bikin akun lagi dengan nmr hp lain, supaya ",ktp,
instal,121,False,kali ini aku benar - benar mendapatkan diskon lumayan banyak setelah aku instal kembali. dulu saya pernah down,instal,
